opdrachtomschrijving,onderwerp
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: Kubernetes.,Digital Twin
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op integratie met bestaande systemen. Doelgroep: consumentenmarkt. Technologieën: Docker.,Digital Twin
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,Digital Twin
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op integratie met bestaande systemen. Doelgroep: overheidsinstanties. Technologieën: React.,Computer Vision
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: SQL.",App Development
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op real-time verwerking. Doelgroep: overheidsinstanties. Technologieën: TensorFlow.,Blockchain
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: React.,Data Science
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: Docker.,Machine Learning
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op real-time verwerking. Doelgroep: consumentenmarkt. Technologieën: Python.,Data Science
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: TensorFlow.,Event Processing
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op real-time verwerking. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,Computer Vision
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op integratie met bestaande systemen. Doelgroep: overheidsinstanties. Technologieën: SQL.,Blockchain
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: Docker.,Blockchain
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: Kubernetes.,Natural Language Processing
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op real-time verwerking. Doelgroep: consumentenmarkt. Technologieën: React.,Computer Vision
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: SQL.,AR/VR Development
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op gebruiksvriendelijkheid. Doelgroep: bedrijven. Technologieën: Kubernetes.,Digital Twin
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op real-time verwerking. Doelgroep: onderwijsinstellingen. Technologieën: Python.,AR/VR Development
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: Python.,Blockchain
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op integratie met bestaande systemen. Doelgroep: overheidsinstanties. Technologieën: React.,Workflow Automation
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: Docker.,AR/VR Development
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op schaalbaarheid. Doelgroep: zorgsector. Technologieën: React.",Data Science
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op real-time verwerking. Doelgroep: onderwijsinstellingen. Technologieën: TensorFlow.,Computer Vision
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op gebruiksvriendelijkheid. Doelgroep: bedrijven. Technologieën: Kubernetes.,Natural Language Processing
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: SQL.,Blockchain
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: Kubernetes.,Event Processing
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op real-time verwerking. Doelgroep: overheidsinstanties. Technologieën: Python.,Digital Twin
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: Kubernetes.,Computer Vision
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op real-time verwerking. Doelgroep: onderwijsinstellingen. Technologieën: Python.,App Development
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: TensorFlow.,Digital Twin
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: SQL.",Computer Vision
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: SQL.,Event Processing
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: React.,Workflow Automation
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,Machine Learning
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: SQL.,Digital Twin
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: SQL.,Digital Twin
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op veiligheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,AR/VR Development
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op schaalbaarheid. Doelgroep: bedrijven. Technologieën: TensorFlow.",Machine Learning
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: TensorFlow.,App Development
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op gebruiksvriendelijkheid. Doelgroep: consumentenmarkt. Technologieën: SQL.,Data Science
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op veiligheid. Doelgroep: onderwijsinstellingen. Technologieën: Python.,Event Processing
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: Python.,AR/VR Development
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op gebruiksvriendelijkheid. Doelgroep: consumentenmarkt. Technologieën: Kubernetes.,Natural Language Processing
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op integratie met bestaande systemen. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,Data Science
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op schaalbaarheid. Doelgroep: bedrijven. Technologieën: TensorFlow.,Computer Vision
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op veiligheid. Doelgroep: zorgsector. Technologieën: TensorFlow.,AR/VR Development
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: TensorFlow.,Digital Twin
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: Python.,Digital Twin
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: SQL.,Blockchain
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op gebruiksvriendelijkheid. Doelgroep: bedrijven. Technologieën: SQL.,Workflow Automation
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op veiligheid. Doelgroep: onderwijsinstellingen. Technologieën: React.,Machine Learning
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: Docker.,Digital Twin
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op real-time verwerking. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,App Development
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op integratie met bestaande systemen. Doelgroep: consumentenmarkt. Technologieën: React.,AR/VR Development
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: React.,Blockchain
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: React.,Machine Learning
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op gebruiksvriendelijkheid. Doelgroep: zorgsector. Technologieën: TensorFlow.,Workflow Automation
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: Docker.,Blockchain
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: SQL.,Blockchain
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: SQL.,Event Processing
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op integratie met bestaande systemen. Doelgroep: consumentenmarkt. Technologieën: Docker.,Computer Vision
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: React.,Event Processing
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op schaalbaarheid. Doelgroep: zorgsector. Technologieën: React.,Data Science
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op veiligheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,AR/VR Development
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op gebruiksvriendelijkheid. Doelgroep: bedrijven. Technologieën: Kubernetes.,Workflow Automation
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op veiligheid. Doelgroep: zorgsector. Technologieën: React.",Data Science
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op gebruiksvriendelijkheid. Doelgroep: onderwijsinstellingen. Technologieën: TensorFlow.",App Development
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: TensorFlow.,App Development
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: SQL.,Data Science
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op gebruiksvriendelijkheid. Doelgroep: zorgsector. Technologieën: Python.,App Development
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op real-time verwerking. Doelgroep: bedrijven. Technologieën: TensorFlow.,Natural Language Processing
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op veiligheid. Doelgroep: onderwijsinstellingen. Technologieën: Python.,Blockchain
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: React.",App Development
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,Data Science
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,AR/VR Development
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op veiligheid. Doelgroep: zorgsector. Technologieën: Python.,Event Processing
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: React.,Event Processing
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: Python.,Blockchain
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: Docker.,Data Science
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op integratie met bestaande systemen. Doelgroep: consumentenmarkt. Technologieën: Python.,Machine Learning
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: TensorFlow.",Event Processing
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op gebruiksvriendelijkheid. Doelgroep: consumentenmarkt. Technologieën: Python.,Event Processing
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: Docker.,Digital Twin
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op real-time verwerking. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.",Event Processing
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op veiligheid. Doelgroep: onderwijsinstellingen. Technologieën: TensorFlow.,Computer Vision
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: React.,Digital Twin
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op gebruiksvriendelijkheid. Doelgroep: zorgsector. Technologieën: Kubernetes.,Natural Language Processing
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: TensorFlow.,Workflow Automation
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: React.,Event Processing
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: Python.,Data Science
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op integratie met bestaande systemen. Doelgroep: consumentenmarkt. Technologieën: Kubernetes.,Digital Twin
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op schaalbaarheid. Doelgroep: zorgsector. Technologieën: Docker.,Computer Vision
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op integratie met bestaande systemen. Doelgroep: consumentenmarkt. Technologieën: Kubernetes.,Data Science
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: SQL.,Computer Vision
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: Kubernetes.,Computer Vision
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op gebruiksvriendelijkheid. Doelgroep: consumentenmarkt. Technologieën: SQL.,AR/VR Development
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op real-time verwerking. Doelgroep: overheidsinstanties. Technologieën: SQL.,Data Science
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: Python.",AR/VR Development
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: Docker.,Data Science
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op real-time verwerking. Doelgroep: onderwijsinstellingen. Technologieën: Python.,Workflow Automation
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: TensorFlow.,Workflow Automation
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op integratie met bestaande systemen. Doelgroep: overheidsinstanties. Technologieën: Kubernetes.,Data Science
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: Python.",Digital Twin
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op gebruiksvriendelijkheid. Doelgroep: onderwijsinstellingen. Technologieën: Python.",Computer Vision
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op integratie met bestaande systemen. Doelgroep: overheidsinstanties. Technologieën: React.,Digital Twin
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: SQL.,Computer Vision
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op integratie met bestaande systemen. Doelgroep: overheidsinstanties. Technologieën: Docker.,Event Processing
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op schaalbaarheid. Doelgroep: zorgsector. Technologieën: Kubernetes.,Digital Twin
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op schaalbaarheid. Doelgroep: bedrijven. Technologieën: Docker.,Machine Learning
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op schaalbaarheid. Doelgroep: zorgsector. Technologieën: Kubernetes.,Data Science
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op integratie met bestaande systemen. Doelgroep: overheidsinstanties. Technologieën: Docker.,AR/VR Development
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op integratie met bestaande systemen. Doelgroep: consumentenmarkt. Technologieën: Docker.,App Development
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op real-time verwerking. Doelgroep: consumentenmarkt. Technologieën: React.,Computer Vision
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,Natural Language Processing
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: React.,Blockchain
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: Python.,Workflow Automation
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,Digital Twin
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op schaalbaarheid. Doelgroep: bedrijven. Technologieën: Python.,Machine Learning
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op integratie met bestaande systemen. Doelgroep: consumentenmarkt. Technologieën: SQL.,Data Science
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op real-time verwerking. Doelgroep: overheidsinstanties. Technologieën: SQL.,Event Processing
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op veiligheid. Doelgroep: onderwijsinstellingen. Technologieën: React.,Blockchain
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: Python.,Blockchain
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op gebruiksvriendelijkheid. Doelgroep: onderwijsinstellingen. Technologieën: Docker.,Data Science
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: Docker.,Machine Learning
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: Kubernetes.,Event Processing
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: React.,Computer Vision
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op gebruiksvriendelijkheid. Doelgroep: zorgsector. Technologieën: Python.,Event Processing
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: TensorFlow.,Natural Language Processing
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: Kubernetes.,Digital Twin
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op real-time verwerking. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,Event Processing
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: Python.,Machine Learning
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: Docker.,Event Processing
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op real-time verwerking. Doelgroep: onderwijsinstellingen. Technologieën: React.,Event Processing
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: Docker.,Natural Language Processing
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: Kubernetes.,Data Science
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op gebruiksvriendelijkheid. Doelgroep: bedrijven. Technologieën: Python.,AR/VR Development
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: SQL.,Natural Language Processing
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: Docker.,Event Processing
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op gebruiksvriendelijkheid. Doelgroep: consumentenmarkt. Technologieën: Python.,App Development
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,Workflow Automation
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: Python.,Blockchain
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: SQL.,Data Science
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op gebruiksvriendelijkheid. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.",Natural Language Processing
"Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: React.",Natural Language Processing
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op schaalbaarheid. Doelgroep: bedrijven. Technologieën: Kubernetes.,Data Science
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: SQL.,Natural Language Processing
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op gebruiksvriendelijkheid. Doelgroep: bedrijven. Technologieën: Kubernetes.,AR/VR Development
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: Python.,Event Processing
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: TensorFlow.,Machine Learning
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op integratie met bestaande systemen. Doelgroep: consumentenmarkt. Technologieën: React.,Machine Learning
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: Python.,Digital Twin
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: TensorFlow.,Machine Learning
